step,sim_time,force_z,x_def_x,x_def_y,x_def_z
238,4.7600,-18.4262,-0.035814,0.005425,-0.054646
239,4.7800,-14.1495,-0.033627,0.005345,-0.046589
240,4.8000,-9.8170,-0.030989,0.004693,-0.038475
241,4.8200,-5.4457,-0.027554,0.003720,-0.030665
242,4.8400,-1.0530,-0.023186,0.002750,-0.023421
243,4.8600,3.3439,-0.017910,0.001934,-0.016860
244,4.8800,7.7277,-0.011788,0.001338,-0.011176
245,4.9000,12.0809,-0.004885,0.001140,-0.006720
246,4.9200,16.3864,0.002621,0.001463,-0.003543
247,4.9400,20.6273,0.010517,0.002188,-0.001287
248,4.9600,24.7868,0.018612,0.003351,0.000211
249,4.9800,28.8484,0.026798,0.004794,0.000938
250,5.0000,32.7962,0.035020,0.006072,0.000603
251,5.0200,36.6146,0.042826,0.007683,-0.002086
252,5.0400,40.2884,0.050164,0.009433,-0.006558
253,5.0600,43.8033,0.057160,0.010491,-0.011815
254,5.0800,47.1453,0.064019,0.010425,-0.016951
255,5.1000,50.3012,0.070343,0.009907,-0.022473
256,5.1200,53.2586,0.073689,0.009621,-0.031722
257,5.1400,56.0059,0.074436,0.008991,-0.043642
258,5.1600,58.5321,0.073054,0.007834,-0.056395
259,5.1800,60.8273,0.069124,0.006931,-0.069480
260,5.2000,62.8824,0.062861,0.007189,-0.082108
261,5.2200,64.6893,0.054822,0.008364,-0.093669
262,5.2400,66.2410,0.044649,0.008638,-0.104009
263,5.2600,67.5313,0.000000,0.000000,0.000000
264,5.2800,68.5550,-0.000810,0.002455,0.017735
265,5.3000,69.3082,-0.002228,0.008445,0.048149
266,5.3200,69.7878,-0.003150,0.014661,0.075774
267,5.3400,69.9921,-0.003085,0.021308,0.096353
268,5.3600,69.9201,-0.001827,0.028728,0.109943
269,5.3800,69.5722,-0.000108,0.033508,0.118963
270,5.4000,68.9497,0.000786,0.032887,0.125449
271,5.4200,68.0550,0.000215,0.028958,0.129912
272,5.4400,66.8918,-0.001497,0.026924,0.132098
273,5.4600,65.4646,-0.003310,0.025829,0.132722
274,5.4800,63.7791,-0.004262,0.024870,0.132283
275,5.5000,61.8418,-0.003858,0.026110,0.130501
276,5.5200,59.6605,-0.002649,0.027305,0.128015
277,5.5400,57.2438,-0.001442,0.024128,0.125544
278,5.5600,54.6011,-0.000835,0.017953,0.122835
279,5.5800,51.7429,-0.001724,0.013437,0.119434
280,5.6000,48.6805,-0.004610,0.013575,0.114743
281,5.6200,45.4260,-0.009160,0.016446,0.108784
282,5.6400,41.9922,-0.014451,0.018741,0.102136
283,5.6600,38.3927,-0.019388,0.018810,0.095307
284,5.6800,34.6417,-0.023071,0.015306,0.088559
285,5.7000,30.7540,-0.024436,0.011315,0.082080
286,5.7200,26.7449,-0.023420,0.009306,0.075734
287,5.7400,22.6302,-0.020920,0.008595,0.069250
288,5.7600,18.4263,-0.017535,0.007404,0.062620
289,5.7800,14.1496,-0.013769,0.004738,0.055687
290,5.8000,9.8171,-0.010278,0.001212,0.048188
291,5.8200,5.4458,-0.007445,-0.001761,0.040235
292,5.8400,1.0530,-0.005359,-0.003327,0.032079
293,5.8600,-3.3439,-0.003791,-0.003496,0.023848
294,5.8800,-7.7276,-0.002323,-0.002467,0.015683
295,5.9000,-12.0808,-0.000661,-0.000657,0.007604
296,5.9200,-16.3864,0.001231,0.001206,-0.000536
297,5.9400,-20.6273,0.003186,0.001596,-0.008867
298,5.9600,-24.7867,0.005376,0.000832,-0.017242
299,5.9800,-28.8484,0.008170,-0.000046,-0.025399
300,6.0000,-32.7962,0.011541,-0.000747,-0.033250
301,6.0200,-36.6145,0.015358,-0.001299,-0.040765
302,6.0400,-40.2884,0.019748,-0.002174,-0.047784
303,6.0600,-43.8033,0.024812,-0.002268,-0.054220
304,6.0800,-47.1453,0.029886,-0.001171,-0.060375
305,6.1000,-50.3012,0.034259,0.000876,-0.066527
306,6.1200,-53.2586,0.037867,0.004020,-0.072582
307,6.1400,-56.0058,0.040833,0.007272,-0.078540
308,6.1600,-58.5320,0.043010,0.008303,-0.084675
309,6.1800,-60.8272,0.043792,0.006398,-0.091149
310,6.2000,-62.8824,0.042821,0.002647,-0.097809
311,6.2200,-64.6894,0.041024,-0.000251,-0.104263
312,6.2400,-66.2410,0.039371,-0.000765,-0.110155
313,6.2600,-67.5313,0.038060,0.001080,-0.115305
314,6.2800,-68.5550,0.036904,0.004581,-0.119695
315,6.3000,-69.3082,0.035109,0.006480,-0.123727
316,6.3200,-69.7878,0.032808,0.006878,-0.127391
317,6.3400,-69.9921,0.030475,0.007047,-0.130473
318,6.3600,-69.9201,0.028472,0.007326,-0.132875
319,6.3800,-69.5721,0.026484,0.005244,-0.134638
320,6.4000,-68.9496,0.024393,-0.000531,-0.135576
321,6.4200,-68.0550,0.022876,-0.006338,-0.135816
322,6.4400,-66.8918,0.022307,-0.011407,-0.135292
323,6.4600,-65.4646,0.022662,-0.014985,-0.134130
324,6.4800,-63.7791,0.023437,-0.019381,-0.131904
325,6.5000,-61.8418,0.024337,-0.026503,-0.128032
326,6.5200,-59.6605,0.025385,-0.034272,-0.122990
327,6.5400,-57.2437,0.026841,-0.039610,-0.117938
328,6.5600,-54.6010,0.028671,-0.041532,-0.113337
329,6.5800,-51.7428,0.029772,-0.043723,-0.107861
330,6.6000,-48.6805,0.030419,-0.045595,-0.101946
331,6.6200,-45.4260,0.031281,-0.044803,-0.096587
332,6.6400,-41.9922,0.031865,-0.041046,-0.091973
333,6.6600,-38.3927,0.031425,-0.036543,-0.087512
334,6.6800,-34.6417,0.030307,-0.032221,-0.082717
335,6.7000,-30.7539,0.028876,-0.028245,-0.077423
336,6.7200,-26.7449,0.027021,-0.025439,-0.071436
337,6.7400,-22.6303,0.024692,-0.023591,-0.064885
